isic_id,coll,label,bg_attr_mean_p6,fg_attr_mean_p6,bg_fg_ratio_p6,r_share_p6,g_share_p6,b_share_p6,total_abs_p6,bg_attr_mean_p10,fg_attr_mean_p10,bg_fg_ratio_p10,r_share_p10,g_share_p10,b_share_p10,total_abs_p10
ISIC_9483439,70,0,0.003100951202213764,0.012787654995918274,0.2424956884748271,0.23751688512395966,0.5041214801354547,0.25836163474058416,648.7987670898448,0.003191255498677492,0.01304957177489996,0.24454867590488094,0.2328284780407502,0.5122985709740061,0.25487295098524215,665.5081481933604
ISIC_5380914,70,0,0.019096212461590767,0.02425573579967022,0.7872864636763729,0.31486160678894554,0.5353054685813173,0.1498329246297368,2857.503875732423,0.014967796392738819,0.01100357249379158,1.3602669861250904,0.3166833066054651,0.537003345390256,0.1463133480042785,2175.0884704589853
ISIC_2784965,70,0,0.019263869151473045,0.020796772092580795,0.9262913045215027,0.3514300735067695,0.44780246129359813,0.20076746519963204,2876.409179687501,0.033000484108924866,0.05345425382256508,0.6173593633626611,0.3525992735791274,0.44289974019198763,0.2045009862288848,5344.287719726563
ISIC_7936961,70,0,0.01873636059463024,0.02259053848683834,0.8293897290472463,0.35111660109635384,0.41932130427605546,0.22956209462759036,2839.667968750001,0.0456027127802372,0.06298313289880753,0.7240464340429881,0.35261045800429375,0.4119422042747394,0.23544733772096677,7071.080444335938
ISIC_1307651,70,0,0.020221859216690063,0.010489665903151035,1.9277886830137778,0.39213980594201553,0.4412586787400969,0.16660151531788728,2841.7686462402353,0.019035469740629196,0.011865977197885513,1.60420582503911,0.3992181382551828,0.4407001133007166,0.16008174844410025,2703.7110290527353
ISIC_2691267,70,0,0.020322371274232864,0.03822026401758194,0.5317171871153021,0.338001843079378,0.43681895515942337,0.2251792017611984,3217.801757812501,0.026949379593133926,0.07183535397052765,0.37515482424142604,0.32751233511831407,0.43817280640920714,0.2343148584724786,4528.458374023438
ISIC_6773319,70,0,0.012666300870478153,0.011445608921349049,1.1066515514829618,0.5892977999965465,0.23895106909729505,0.17175113090615798,1854.096710205079,0.01857190951704979,0.010965426452457905,1.6936787271859262,0.5934601708429746,0.24024479235087376,0.16629503680615126,2653.636199951173
ISIC_6427761,70,0,0.007066003512591124,0.01181165874004364,0.598222795638017,0.37299188957218615,0.4317166548408668,0.1952914555869463,1203.1155700683603,0.010978242382407188,0.012761838734149933,0.8602398612850399,0.3854517053626704,0.42204257550804325,0.19250571912928574,1679.3893432617197
ISIC_3969181,70,0,0.03452502191066742,0.01632191240787506,2.1152559239326423,0.32767740077027496,0.4983265856754366,0.1739960135542883,4713.971679687501,0.02077307738363743,0.01153615489602089,1.800693348075847,0.33518797997444505,0.49503343410478984,0.16977858592076478,2871.837127685548
ISIC_7641395,70,0,0.009171742014586926,0.0028919551987200975,3.1714675312557037,0.4045711535948528,0.39081318839621815,0.20461565800892828,1213.4505615234384,0.006176447495818138,0.002320334315299988,2.6618782712005906,0.39955769150176407,0.3947037298945573,0.2057385786036774,825.4145965576182
ISIC_6784593,70,1,0.013392622582614422,0.012834244407713413,1.043506898977662,0.33977207269410803,0.44830450441004865,0.21192342289584282,1961.237823486329,0.01325959898531437,0.014127261936664581,0.9385823696594483,0.35157997571678196,0.4398981401329347,0.20852188415028286,1976.3168640136728
ISIC_8068693,70,1,0.0061868783086538315,0.027199162170290947,0.22746576787617465,0.21047248617329165,0.58326413881531,0.20626337501139788,2168.742675781251,0.0061883083544671535,0.01311695296317339,0.47177941186807565,0.23598586631996252,0.5647961497125662,0.19921798396747056,1326.8084106445322
ISIC_7914631,70,1,0.010035720653831959,0.02524532563984394,0.39752787494223807,0.3591405256364625,0.49336528260785645,0.1474941917556806,1779.1976928710947,0.012579145841300488,0.022780660539865494,0.5521852985468682,0.37707618298793555,0.4934335376714379,0.12949027934062612,2055.6668395996103
ISIC_1375476,70,1,0.010467770509421825,0.014007066376507282,0.7473206900038982,0.25731850254802374,0.514076672918437,0.22860482453353878,1719.190704345704,0.006753039080649614,0.006108509376645088,1.1055134181292712,0.27282146076543706,0.5134559150520466,0.21372262418251525,963.7881011962901
ISIC_7466678,70,1,0.003462298307567835,0.016409479081630707,0.2109937975693355,0.2644057455653184,0.5524399154579983,0.18315433897668215,869.1347808837901,0.00346957566216588,0.01683489978313446,0.20609422728145793,0.2546880644192523,0.5613023669669628,0.18400956861378373,881.7891693115245
ISIC_5191344,70,1,0.0038358797319233418,0.019109632819890976,0.20073016410501737,0.20980603860297076,0.5329001907320645,0.2572937706649636,954.9820098876963,0.0034223950933665037,0.012773547321557999,0.26792832149222207,0.2201723531769759,0.5269728779086953,0.2528547689143274,743.032226562501
ISIC_8789051,70,1,0.007087192963808775,0.006239112000912428,1.1359297545503784,0.4274904893317486,0.4332426836544522,0.13926682701379833,1026.9518432617197,0.00621495395898819,0.00807160884141922,0.7699770988772819,0.43653640776520786,0.4262889257371326,0.13717466649765844,956.0513610839854
ISIC_1729223,70,1,0.011765647679567337,0.007729293778538704,1.5222150970941286,0.35301276064481735,0.46635419908645753,0.18063304026872457,1703.1128845214853,0.00769831845536828,0.007281485013663769,1.0572456636142655,0.3544951367049863,0.4631589260994337,0.18234593719557923,1131.8790130615243
ISIC_8450656,70,1,0.021066559478640556,0.011273515410721302,1.8686770462570979,0.269306825147986,0.529945827969229,0.2007473468827847,2626.903320312501,0.008839260786771774,0.004516657441854477,1.9570359055484394,0.2694324794960488,0.5262529915826245,0.20431452892132582,1091.7587738037118
ISIC_6688417,70,1,0.022366762161254883,0.00919449795037508,2.4326246285521718,0.2895301172184259,0.4520378303648538,0.25843205241671996,2966.238037109376,0.016495615243911743,0.010367839597165585,1.5910368876097778,0.2940231481454191,0.4494945925196229,0.2564822593349576,2277.9881591796884
